sample-id	forward-absolute-filepath	reverse-absolute-filepath
SRR10102255	/home/Looouis/SRR/SRR10102255_1.fastq	/home/Looouis/SRR/SRR10102255_2.fastq
SRR10102333	/home/Looouis/SRR/SRR10102333_1.fastq	/home/Looouis/SRR/SRR10102333_2.fastq
